 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,1368.233,180.35,11.633,180.35,11.633,156.199,62.526,27.862,179.275,0.705,100,2.244,0.446,0.95
2,957.763,675.678,10.809,675.678,10.809,126.339,46.671,26.129,179.513,0.754,100,1.786,0.56,0.95
3,1035.098,778.049,10.976,778.049,10.976,129.196,50.609,26.041,0,0.779,100,1.943,0.515,0.961
4,743.605,896.4,8.771,896.4,8.771,115.154,44.25,21.396,179.034,0.705,100,2.068,0.484,0.929
5,1582.391,569.842,25.316,569.842,25.316,144.769,47.203,42.683,151.494,0.949,100,1.106,0.904,0.942
6,2046.401,480.97,30.275,480.97,30.275,166.302,54.6,47.721,139.461,0.93,100,1.144,0.874,0.942
7,3170.732,92.25,53.459,92.25,53.459,211.388,67.851,59.5,81.002,0.892,100,1.14,0.877,0.948
8,2177.275,250.553,61.136,250.553,61.136,170.343,53.333,51.979,99.655,0.943,100,1.026,0.975,0.946
9,2790.006,848.45,68.649,848.45,68.649,196.754,62.972,56.412,57.322,0.906,100,1.116,0.896,0.945
10,1915.526,646.652,73.489,646.652,73.489,159.995,52.608,46.36,170.879,0.94,100,1.135,0.881,0.947
11,2105.889,332.314,95.025,332.314,95.025,166.302,52.268,51.299,124.769,0.957,100,1.019,0.981,0.955
12,1832.243,449.208,105.092,449.208,105.092,157.138,50.484,46.211,113.682,0.932,100,1.092,0.915,0.938
13,1653.778,942.507,100.886,942.507,100.886,151.076,46.738,45.052,53.964,0.911,100,1.037,0.964,0.933
14,1743.01,750.266,113.398,750.266,113.398,153.096,48.565,45.697,106.184,0.935,100,1.063,0.941,0.939
15,1760.857,541.175,114.766,541.175,114.766,153.096,48.942,45.809,104.889,0.944,100,1.068,0.936,0.944
16,2022.606,171.758,138.085,171.758,138.085,166.302,55.837,46.121,174.477,0.919,100,1.211,0.826,0.942
17,2218.917,268.355,160.573,268.355,160.573,176.058,56.864,49.683,86.592,0.9,100,1.145,0.874,0.942
18,2266.508,673.488,160.473,673.488,160.473,174.629,56.386,51.18,36.289,0.934,100,1.102,0.908,0.945
19,3146.936,857.732,171.758,857.732,171.758,207.347,67.883,59.025,88.337,0.92,100,1.15,0.87,0.959
20,2807.852,395.84,179.366,395.84,179.366,195.325,63.542,56.263,24.235,0.925,100,1.129,0.885,0.95
21,1267.103,982.303,176.096,982.303,176.096,137.279,52.973,30.455,77.707,0.845,100,1.739,0.575,0.934
22,1957.168,44.596,176.681,44.596,176.681,161.424,50.924,48.935,3.769,0.944,100,1.041,0.961,0.948
23,2736.466,591.288,199.279,591.288,199.279,192.713,66.515,52.382,4.288,0.926,100,1.27,0.788,0.957
24,2593.694,129.279,222.035,129.279,222.035,188.426,63.814,51.751,165.719,0.918,100,1.233,0.811,0.947
25,1885.782,225.541,240.767,225.541,240.767,157.975,50.639,47.416,128.87,0.95,100,1.068,0.936,0.953
26,2486.615,718.1,243.605,718.1,243.605,184.977,57.908,54.674,80.999,0.913,100,1.059,0.944,0.945
27,107.079,997.832,234.417,997.832,234.417,57.7,26.237,5.196,91.774,0.404,100,5.049,0.198,0.9
28,1279.001,313.052,254.005,313.052,254.005,132.401,42.874,37.982,81.861,0.917,100,1.129,0.886,0.937
29,1725.164,815.248,261.102,815.248,261.102,151.076,51.195,42.905,104.724,0.95,100,1.193,0.838,0.956
30,1808.447,920.972,260.695,920.972,260.695,155.954,51.794,44.456,61.973,0.934,100,1.165,0.858,0.947
31,2302.201,513.377,266.701,513.377,266.701,175.466,57.318,51.14,121.027,0.94,100,1.121,0.892,0.956
32,2070.196,406.14,267.452,406.14,267.452,168.322,54.142,48.684,138.539,0.918,100,1.112,0.899,0.946
33,3099.346,70.051,289.876,70.051,289.876,205.918,68.53,57.583,137.452,0.919,100,1.19,0.84,0.955
34,2956.573,643.596,323.22,643.596,323.22,204.489,64.74,58.147,111.335,0.888,100,1.113,0.898,0.945
35,2236.764,745.466,322.159,745.466,322.159,179.262,56.01,50.847,103.237,0.875,100,1.102,0.908,0.93
36,2444.973,445.324,334.505,445.324,334.505,184.385,64.318,48.401,106.352,0.904,100,1.329,0.753,0.947
37,2010.708,184.673,333.605,184.673,333.605,165.71,53.202,48.121,160.389,0.92,100,1.106,0.904,0.945
38,136.823,997.72,333.457,997.72,333.457,67.456,32.225,5.406,89.378,0.378,100,5.961,0.168,0.939
39,1915.526,289.274,351.363,289.274,351.363,159.403,51.593,47.272,91.481,0.947,100,1.091,0.916,0.951
40,2391.434,849.624,354.277,849.624,354.277,181.528,57.591,52.871,48.894,0.912,100,1.089,0.918,0.943
41,1017.252,11.261,354.949,11.261,354.949,125.502,48.134,26.908,95.148,0.812,100,1.789,0.559,0.953
42,1844.14,545.822,366.719,545.822,366.719,158.566,49.475,47.459,125.284,0.922,100,1.042,0.959,0.948
43,1933.373,101.302,383.839,101.302,383.839,162.016,49.941,49.291,6.958,0.926,100,1.013,0.987,0.935
44,2278.406,371.983,399.271,371.983,399.271,178.079,59.048,49.129,152.566,0.903,100,1.202,0.832,0.945
45,2760.262,735.823,412.626,735.823,412.626,195.325,63.576,55.28,62.31,0.909,100,1.15,0.87,0.946
46,1427.722,931.199,402.378,931.199,402.378,135.85,45.53,39.926,163.148,0.972,100,1.14,0.877,0.954
47,2189.173,215.277,415.887,215.277,415.887,171.18,58.165,47.921,1.099,0.939,100,1.214,0.824,0.955
48,2623.438,841.792,443.795,841.792,443.795,187.835,59.727,55.926,26.572,0.934,100,1.068,0.936,0.952
49,2415.229,645.236,444.239,645.236,444.239,181.528,58.466,52.597,14.118,0.921,100,1.112,0.9,0.945
50,1707.317,22.185,450.255,22.185,450.255,157.975,54.519,39.873,110.102,0.86,100,1.367,0.731,0.923
51,196.312,475.499,438.692,475.499,438.692,51.148,18.716,13.355,170.094,0.943,100,1.401,0.714,0.846
